Epoch,Train Loss,Val Loss
1,3.644299,1.346753
2,0.381641,0.003911
3,0.006198,0.000804
4,0.002597,0.000444
5,0.001801,0.000292
6,0.001270,0.000196
7,0.000959,0.000139
8,0.000675,0.000097
9,0.000496,0.000070
10,0.000376,0.000050
