Epoch,Train Loss,Val Loss
1,4.048334,1.618847
2,0.368207,0.004173
3,0.002185,0.001273
4,0.001017,0.000822
5,0.000703,0.000596
6,0.000517,0.000442
7,0.000385,0.000331
8,0.000289,0.000248
9,0.000216,0.000186
10,0.000162,0.000139
