Epoch,Train Loss,Val Loss
1,4.275993,2.141068
2,0.873460,0.019122
3,0.035301,0.001878
4,0.011281,0.000946
5,0.007503,0.000570
6,0.004225,0.000361
7,0.003000,0.000256
8,0.002461,0.000196
9,0.003125,0.000178
10,0.002525,0.000132
