Epoch,Train Loss,Val Loss
1,3.905426,1.468271
2,0.415462,0.005421
3,0.006729,0.000997
4,0.002634,0.000544
5,0.001773,0.000374
6,0.001240,0.000242
7,0.000869,0.000163
8,0.000647,0.000112
9,0.000463,0.000080
10,0.000341,0.000059
