Epoch,Train Loss,Val Loss
1,4.166811,2.235078
2,0.982479,0.026318
3,0.024636,0.001856
4,0.006034,0.000855
5,0.003727,0.000506
6,0.002682,0.000341
7,0.001762,0.000228
8,0.001232,0.000157
9,0.000880,0.000110
10,0.000824,0.000097
