Epoch,Train Loss,Val Loss
1,4.516259,2.642373
2,1.717378,0.283275
3,0.256737,0.005682
4,0.042195,0.001057
5,0.019028,0.000447
6,0.011533,0.000242
7,0.007579,0.000150
8,0.005333,0.000100
9,0.003635,0.000068
10,0.002635,0.000048
