Epoch,Train Loss,Val Loss
1,4.220404,2.020050
2,0.727140,0.008492
3,0.010366,0.001081
4,0.003492,0.000559
5,0.002223,0.000367
6,0.001619,0.000247
7,0.001154,0.000178
8,0.000841,0.000122
9,0.000724,0.000088
10,0.000548,0.000085
