Epoch,Train Loss,Val Loss
1,4.186983,1.987652
2,0.710237,0.007779
3,0.008755,0.000974
4,0.003052,0.000550
5,0.002001,0.000350
6,0.001398,0.000238
7,0.001049,0.000171
8,0.000765,0.000119
9,0.000566,0.000083
10,0.000400,0.000060
